20230916
Seconds MEASURES_pwv(mm) MNH_PWV(mm) PERSISTENCE(mm) Date_of_forecast Date_of_computing
22800 1.88751 2.09849 9999.00000 "2023-09-17 00:20:00" "2023-09-17 00:00:00"
22800 1.88751 2.09849 1.84450 "2023-09-17 00:20:00" "2023-09-17 00:10:00"
22800 1.88751 2.09849 9999.00000 "2023-09-17 00:20:00" "2023-09-17 00:20:00"
22800 1.88751 2.09849 1.86867 "2023-09-17 00:20:00" "2023-09-16 23:30:00"
22800 1.88751 2.09849 9999.00000 "2023-09-17 00:20:00" "2023-09-16 23:40:00"
22800 1.88751 2.09849 1.91867 "2023-09-17 00:20:00" "2023-09-16 23:50:00"
22800 1.88751 2.09849 9999.00000 "2023-09-17 00:20:00" "2023-09-17 00:00:00"
22800 1.88751 2.09849 1.84450 "2023-09-17 00:20:00" "2023-09-17 00:10:00"
22800 1.88751 2.09849 9999.00000 "2023-09-17 00:20:00" "2023-09-17 00:20:00"
22800 1.88751 2.09849 1.86867 "2023-09-17 00:20:00" "2023-09-16 23:30:00"
22800 1.88751 2.09849 9999.00000 "2023-09-17 00:20:00" "2023-09-16 23:40:00"
22800 1.88751 2.09849 1.91867 "2023-09-17 00:20:00" "2023-09-16 23:50:00"
22800 1.88751 2.09849 9999.00000 "2023-09-17 00:20:00" "2023-09-17 00:00:00"
22800 1.88751 2.09849 1.84450 "2023-09-17 00:20:00" "2023-09-17 00:10:00"
22800 1.88751 2.09849 9999.00000 "2023-09-17 00:20:00" "2023-09-17 00:20:00"
22800 1.88751 2.09849 1.86867 "2023-09-17 00:20:00" "2023-09-16 23:30:00"
22800 1.88751 2.09849 9999.00000 "2023-09-17 00:20:00" "2023-09-16 23:40:00"
22800 1.88751 2.09849 1.91867 "2023-09-17 00:20:00" "2023-09-16 23:50:00"
22800 1.88751 2.09849 9999.00000 "2023-09-17 00:20:00" "2023-09-17 00:00:00"
22800 1.88751 2.09849 1.84450 "2023-09-17 00:20:00" "2023-09-17 00:10:00"
22800 1.88751 2.09849 9999.00000 "2023-09-17 00:20:00" "2023-09-17 00:20:00"
22800 1.88751 2.09849 1.86867 "2023-09-17 00:20:00" "2023-09-16 23:30:00"
22800 1.88751 2.09849 9999.00000 "2023-09-17 00:20:00" "2023-09-16 23:40:00"
22800 1.88751 2.09849 1.91867 "2023-09-17 00:20:00" "2023-09-16 23:50:00"
22800 1.88751 2.09849 9999.00000 "2023-09-17 00:20:00" "2023-09-17 00:00:00"
22800 1.88751 2.09849 1.84450 "2023-09-17 00:20:00" "2023-09-17 00:10:00"
22800 1.88751 2.09849 9999.00000 "2023-09-17 00:20:00" "2023-09-17 00:20:00"
22800 1.88751 2.09849 1.86867 "2023-09-17 00:20:00" "2023-09-16 23:30:00"
22800 1.88751 2.09849 9999.00000 "2023-09-17 00:20:00" "2023-09-16 23:40:00"
22800 1.88751 2.09849 1.91867 "2023-09-17 00:20:00" "2023-09-16 23:50:00"
22800 1.88751 2.09849 9999.00000 "2023-09-17 00:20:00" "2023-09-17 00:00:00"
22800 1.88751 2.09849 1.84450 "2023-09-17 00:20:00" "2023-09-17 00:10:00"
22800 1.88751 2.09849 9999.00000 "2023-09-17 00:20:00" "2023-09-17 00:20:00"
23400 1.88772 2.08699 9999.00000 "2023-09-17 00:30:00" "2023-09-16 23:40:00"
23400 1.88772 2.08699 1.91867 "2023-09-17 00:30:00" "2023-09-16 23:50:00"
23400 1.88772 2.08699 9999.00000 "2023-09-17 00:30:00" "2023-09-17 00:00:00"
23400 1.88772 2.08699 1.84450 "2023-09-17 00:30:00" "2023-09-17 00:10:00"
23400 1.88772 2.08699 9999.00000 "2023-09-17 00:30:00" "2023-09-17 00:20:00"
23400 1.88772 2.08699 1.88450 "2023-09-17 00:30:00" "2023-09-17 00:30:00"
23400 1.88772 2.08699 9999.00000 "2023-09-17 00:30:00" "2023-09-16 23:40:00"
23400 1.88772 2.08699 1.91867 "2023-09-17 00:30:00" "2023-09-16 23:50:00"
23400 1.88772 2.08699 9999.00000 "2023-09-17 00:30:00" "2023-09-17 00:00:00"
23400 1.88772 2.08699 1.84450 "2023-09-17 00:30:00" "2023-09-17 00:10:00"
23400 1.88772 2.08699 9999.00000 "2023-09-17 00:30:00" "2023-09-17 00:20:00"
23400 1.88772 2.08699 1.88450 "2023-09-17 00:30:00" "2023-09-17 00:30:00"
23400 1.88772 2.08699 9999.00000 "2023-09-17 00:30:00" "2023-09-16 23:40:00"
23400 1.88772 2.08699 1.91867 "2023-09-17 00:30:00" "2023-09-16 23:50:00"
23400 1.88772 2.08699 9999.00000 "2023-09-17 00:30:00" "2023-09-17 00:00:00"
23400 1.88772 2.08699 1.84450 "2023-09-17 00:30:00" "2023-09-17 00:10:00"
23400 1.88772 2.08699 9999.00000 "2023-09-17 00:30:00" "2023-09-17 00:20:00"
23400 1.88772 2.08699 1.88450 "2023-09-17 00:30:00" "2023-09-17 00:30:00"
23400 1.88772 2.08699 9999.00000 "2023-09-17 00:30:00" "2023-09-16 23:40:00"
23400 1.88772 2.08699 1.91867 "2023-09-17 00:30:00" "2023-09-16 23:50:00"
23400 1.88772 2.08699 9999.00000 "2023-09-17 00:30:00" "2023-09-17 00:00:00"
23400 1.88772 2.08699 1.84450 "2023-09-17 00:30:00" "2023-09-17 00:10:00"
23400 1.88772 2.08699 9999.00000 "2023-09-17 00:30:00" "2023-09-17 00:20:00"
23400 1.88772 2.08699 1.88450 "2023-09-17 00:30:00" "2023-09-17 00:30:00"
23400 1.88772 2.08699 9999.00000 "2023-09-17 00:30:00" "2023-09-16 23:40:00"
23400 1.88772 2.08699 1.91867 "2023-09-17 00:30:00" "2023-09-16 23:50:00"
