20230912
Seconds "MEASURES_see("")" MNH_Seeing(arcsec) "PERSISTENCE("")" Date_of_forecast Date_of_computing
18600 1.14269 0.65867 0.97050 "2023-09-12 23:10:00" "2023-09-12 23:10:00"
19200 1.22580 0.65521 0.97050 "2023-09-12 23:20:00" "2023-09-12 23:10:00"
19200 1.22580 0.65521 1.07900 "2023-09-12 23:20:00" "2023-09-12 23:20:00"
19800 1.25745 0.65633 0.97050 "2023-09-12 23:30:00" "2023-09-12 23:10:00"
19800 1.25745 0.65633 1.07900 "2023-09-12 23:30:00" "2023-09-12 23:20:00"
19800 1.25745 0.65633 1.01850 "2023-09-12 23:30:00" "2023-09-12 23:30:00"
20400 1.29316 0.65050 0.97050 "2023-09-12 23:40:00" "2023-09-12 23:10:00"
20400 1.29316 0.65050 1.07900 "2023-09-12 23:40:00" "2023-09-12 23:20:00"
20400 1.29316 0.65050 1.01850 "2023-09-12 23:40:00" "2023-09-12 23:30:00"
20400 1.29316 0.65050 1.24350 "2023-09-12 23:40:00" "2023-09-12 23:40:00"
21000 1.35247 0.63960 0.97050 "2023-09-12 23:50:00" "2023-09-12 23:10:00"
21000 1.35247 0.63960 1.07900 "2023-09-12 23:50:00" "2023-09-12 23:20:00"
21000 1.35247 0.63960 1.01850 "2023-09-12 23:50:00" "2023-09-12 23:30:00"
21000 1.35247 0.63960 1.24350 "2023-09-12 23:50:00" "2023-09-12 23:40:00"
21000 1.35247 0.63960 1.44912 "2023-09-12 23:50:00" "2023-09-12 23:50:00"
21600 1.36764 0.62686 0.97050 "2023-09-13 00:00:00" "2023-09-12 23:10:00"
21600 1.36764 0.62686 1.07900 "2023-09-13 00:00:00" "2023-09-12 23:20:00"
21600 1.36764 0.62686 1.01850 "2023-09-13 00:00:00" "2023-09-12 23:30:00"
21600 1.36764 0.62686 1.24350 "2023-09-13 00:00:00" "2023-09-12 23:40:00"
21600 1.36764 0.62686 1.44912 "2023-09-13 00:00:00" "2023-09-12 23:50:00"
21600 1.36764 0.62686 1.44329 "2023-09-13 00:00:00" "2023-09-13 00:00:00"
22200 1.38262 0.61586 1.07900 "2023-09-13 00:10:00" "2023-09-12 23:20:00"
22200 1.38262 0.61586 1.01850 "2023-09-13 00:10:00" "2023-09-12 23:30:00"
22200 1.38262 0.61586 1.24350 "2023-09-13 00:10:00" "2023-09-12 23:40:00"
22200 1.38262 0.61586 1.44912 "2023-09-13 00:10:00" "2023-09-12 23:50:00"
22200 1.38262 0.61586 1.44329 "2023-09-13 00:10:00" "2023-09-13 00:00:00"
22200 1.38262 0.61586 1.25743 "2023-09-13 00:10:00" "2023-09-13 00:10:00"
22800 1.36087 0.61134 1.01850 "2023-09-13 00:20:00" "2023-09-12 23:30:00"
22800 1.36087 0.61134 1.24350 "2023-09-13 00:20:00" "2023-09-12 23:40:00"
22800 1.36087 0.61134 1.44912 "2023-09-13 00:20:00" "2023-09-12 23:50:00"
22800 1.36087 0.61134 1.44329 "2023-09-13 00:20:00" "2023-09-13 00:00:00"
22800 1.36087 0.61134 1.25743 "2023-09-13 00:20:00" "2023-09-13 00:10:00"
22800 1.36087 0.61134 1.34387 "2023-09-13 00:20:00" "2023-09-13 00:20:00"
23400 1.38410 0.60534 1.24350 "2023-09-13 00:30:00" "2023-09-12 23:40:00"
23400 1.38410 0.60534 1.44912 "2023-09-13 00:30:00" "2023-09-12 23:50:00"
23400 1.38410 0.60534 1.44329 "2023-09-13 00:30:00" "2023-09-13 00:00:00"
23400 1.38410 0.60534 1.25743 "2023-09-13 00:30:00" "2023-09-13 00:10:00"
23400 1.38410 0.60534 1.34387 "2023-09-13 00:30:00" "2023-09-13 00:20:00"
23400 1.38410 0.60534 1.38771 "2023-09-13 00:30:00" "2023-09-13 00:30:00"
24000 1.44013 0.60506 1.44912 "2023-09-13 00:40:00" "2023-09-12 23:50:00"
24000 1.44013 0.60506 1.44329 "2023-09-13 00:40:00" "2023-09-13 00:00:00"
24000 1.44013 0.60506 1.25743 "2023-09-13 00:40:00" "2023-09-13 00:10:00"
24000 1.44013 0.60506 1.34387 "2023-09-13 00:40:00" "2023-09-13 00:20:00"
24000 1.44013 0.60506 1.38771 "2023-09-13 00:40:00" "2023-09-13 00:30:00"
24000 1.44013 0.60506 1.39062 "2023-09-13 00:40:00" "2023-09-13 00:40:00"
24600 1.60277 0.61229 1.44329 "2023-09-13 00:50:00" "2023-09-13 00:00:00"
24600 1.60277 0.61229 1.25743 "2023-09-13 00:50:00" "2023-09-13 00:10:00"
24600 1.60277 0.61229 1.34387 "2023-09-13 00:50:00" "2023-09-13 00:20:00"
24600 1.60277 0.61229 1.38771 "2023-09-13 00:50:00" "2023-09-13 00:30:00"
24600 1.60277 0.61229 1.39062 "2023-09-13 00:50:00" "2023-09-13 00:40:00"
24600 1.60277 0.61229 1.40014 "2023-09-13 00:50:00" "2023-09-13 00:50:00"
25200 1.75946 0.62293 1.25743 "2023-09-13 01:00:00" "2023-09-13 00:10:00"
25200 1.75946 0.62293 1.34387 "2023-09-13 01:00:00" "2023-09-13 00:20:00"
25200 1.75946 0.62293 1.38771 "2023-09-13 01:00:00" "2023-09-13 00:30:00"
25200 1.75946 0.62293 1.39062 "2023-09-13 01:00:00" "2023-09-13 00:40:00"
25200 1.75946 0.62293 1.40014 "2023-09-13 01:00:00" "2023-09-13 00:50:00"
25200 1.75946 0.62293 1.40143 "2023-09-13 01:00:00" "2023-09-13 01:00:00"
25800 1.89544 0.63092 1.34387 "2023-09-13 01:10:00" "2023-09-13 00:20:00"
25800 1.89544 0.63092 1.38771 "2023-09-13 01:10:00" "2023-09-13 00:30:00"
25800 1.89544 0.63092 1.39062 "2023-09-13 01:10:00" "2023-09-13 00:40:00"
25800 1.89544 0.63092 1.40014 "2023-09-13 01:10:00" "2023-09-13 00:50:00"
25800 1.89544 0.63092 1.40143 "2023-09-13 01:10:00" "2023-09-13 01:00:00"
25800 1.89544 0.63092 1.66900 "2023-09-13 01:10:00" "2023-09-13 01:10:00"
26400 2.02672 0.63528 1.38771 "2023-09-13 01:20:00" "2023-09-13 00:30:00"
26400 2.02672 0.63528 1.39062 "2023-09-13 01:20:00" "2023-09-13 00:40:00"
26400 2.02672 0.63528 1.40014 "2023-09-13 01:20:00" "2023-09-13 00:50:00"
26400 2.02672 0.63528 1.40143 "2023-09-13 01:20:00" "2023-09-13 01:00:00"
26400 2.02672 0.63528 1.66900 "2023-09-13 01:20:00" "2023-09-13 01:10:00"
26400 2.02672 0.63528 2.56725 "2023-09-13 01:20:00" "2023-09-13 01:20:00"
27000 2.10713 0.64391 1.39062 "2023-09-13 01:30:00" "2023-09-13 00:40:00"
27000 2.10713 0.64391 1.40014 "2023-09-13 01:30:00" "2023-09-13 00:50:00"
27000 2.10713 0.64391 1.40143 "2023-09-13 01:30:00" "2023-09-13 01:00:00"
27000 2.10713 0.64391 1.66900 "2023-09-13 01:30:00" "2023-09-13 01:10:00"
27000 2.10713 0.64391 2.56725 "2023-09-13 01:30:00" "2023-09-13 01:20:00"
27000 2.10713 0.64391 2.14757 "2023-09-13 01:30:00" "2023-09-13 01:30:00"
27600 2.08270 0.64786 1.40014 "2023-09-13 01:40:00" "2023-09-13 00:50:00"
27600 2.08270 0.64786 1.40143 "2023-09-13 01:40:00" "2023-09-13 01:00:00"
27600 2.08270 0.64786 1.66900 "2023-09-13 01:40:00" "2023-09-13 01:10:00"
27600 2.08270 0.64786 2.56725 "2023-09-13 01:40:00" "2023-09-13 01:20:00"
27600 2.08270 0.64786 2.14757 "2023-09-13 01:40:00" "2023-09-13 01:30:00"
27600 2.08270 0.64786 2.09857 "2023-09-13 01:40:00" "2023-09-13 01:40:00"
28200 1.95064 0.64751 1.40143 "2023-09-13 01:50:00" "2023-09-13 01:00:00"
28200 1.95064 0.64751 1.66900 "2023-09-13 01:50:00" "2023-09-13 01:10:00"
28200 1.95064 0.64751 2.56725 "2023-09-13 01:50:00" "2023-09-13 01:20:00"
28200 1.95064 0.64751 2.14757 "2023-09-13 01:50:00" "2023-09-13 01:30:00"
28200 1.95064 0.64751 2.09857 "2023-09-13 01:50:00" "2023-09-13 01:40:00"
28200 1.95064 0.64751 2.06325 "2023-09-13 01:50:00" "2023-09-13 01:50:00"
28800 1.79711 0.64510 1.66900 "2023-09-13 02:00:00" "2023-09-13 01:10:00"
28800 1.79711 0.64510 2.56725 "2023-09-13 02:00:00" "2023-09-13 01:20:00"
